,col-pi,col-tt,col-gu,col-le,col-pac,col-sho,col-vl,col-bp,col-wg,col-def,col-phy,col-ae,col-pas,col-dri,col-oa,col-pt,Contract,Name,Team
45,258089,1391,22,N/A,55,31,€600K,CB,€500,60,60,16,42,39,58,80,2020 ~ 2024, L. Quiroz,Club Atlético Colón  
46,231823,1598,7,"Jun 30, 2021",60,30,€3.5M,CB,€16K,71,72,22,52,59,71,78,"Jun 30, 2021 On Loan", J. Hoogma,"FC UtrechtJun ,  On Loan"
47,234827,1660,7,"Jun 30, 2021",54,37,€5.5M,CB,€29K,73,76,23,58,62,73,80,"Jun 30, 2021 On Loan", J. Rasmussen,"VitesseJun ,  On Loan"
48,234857,1946,7,N/A,74,68,€6M,CAM,€24K,56,64,21,76,76,73,80,2018 ~ 2023, I. Oblyakov,PFC CSKA Moscow  
49,241130,1768,6,N/A,82,73,€4.9M,ST,€25K,34,68,21,58,75,73,79,2020 ~ 2024, I. Ganago,Racing Club de Lens  
50,241568,1944,10,"Jun 30, 2022",77,69,€3.5M,CAM,€7K,54,63,20,74,73,70,80,"Jun 30, 2022 On Loan", C. Ferreira,"Club Atlético ColónJun ,  On Loan"
51,241708,1560,11,N/A,65,32,€2.9M,CB,€8K,70,69,21,55,54,69,80,2019 ~ 2024, M. Sagnan,Real Sociedad  
52,241947,1782,9,N/A,88,61,€3.5M,RM,€10K,32,57,20,63,76,70,79,2018 ~ 2024, F. Amuzu,RSC Anderlecht  
53,243016,1808,11,N/A,81,63,€5.5M,CAM,€13K,44,62,21,69,72,72,83,2020 ~ 2025, Alberto Soro,Granada CF  
54,245131,1620,14,N/A,90,60,€5.5M,LM,€500,33,43,19,59,81,72,86,2017 ~ 2023, G. Tsitaishvili,Dynamo Kyiv  
55,246155,1851,10,"Jun 30, 2021",79,56,€3.3M,LWB,€3K,65,68,19,63,67,70,80,"Jun 30, 2021 On Loan", S. McCallum,"Coventry CityJun ,  On Loan"
56,246929,1817,3,N/A,88,69,€2.5M,ST,€650,44,81,25,63,67,71,74,2019 ~ 2024, Gerson Rodrigues,Dynamo Kyiv  
57,248765,1481,14,N/A,93,50,€1.4M,LW,€3K,28,43,20,48,70,64,78,2020 ~ 2024, C. Conteh,Feyenoord  
58,251182,1903,4,N/A,77,55,€7.5M,LB,€20K,71,71,23,68,72,75,79,2019 ~ 2024, Iago,FC Augsburg  
59,256918,1527,20,N/A,78,31,€1.1M,RB,€500,57,59,18,46,65,62,82,2019 ~ 2023, Tiago Almeida,CD Tondela  
0,150525,1838,0,N/A,68,75,€0,ST,€0,32,73,30,67,77,78,78,Free,  P. Guerrero, PeruFree
1,173306,2091,0,N/A,78,64,€9M,LWB,€45K,76,70,33,77,80,78,78,2019 ~ 2021, C. Ansaldi,Torino  
2,182103,1912,0,N/A,67,56,€0,CDM,€0,72,78,36,65,59,73,73,Free,  E. Arévalo Ríos, UruguayFree
3,192991,1896,0,"May 31, 2021",69,75,€4.2M,ST,€66K,36,73,29,65,72,74,74,"May 31, 2021 On Loan", C. Tosun,"Beşiktaş JKMay ,  On Loan"
4,196069,2036,0,N/A,91,63,€4.3M,RW,€12K,64,67,35,71,79,77,77,2016 ~ 2021, J. Fuenzalida,Universidad Católica  
5,198213,1780,0,N/A,58,75,€4.1M,ST,€13K,35,78,30,62,70,74,74,2019 ~ 2022, Leandro Damião,Kawasaki Frontale  
6,199439,1826,1,N/A,57,73,€3.6M,ST,€24K,41,70,26,72,70,73,74,2017 ~ 2022, M. Gregoritsch,FC Augsburg  
7,199576,1821,0,N/A,46,44,€12.5M,CDM,€53K,80,81,28,62,64,78,78,2015 ~ 2023, Oriol Romeu,Southampton  
8,201858,1940,0,N/A,77,74,€4.2M,CAM,€28K,44,58,28,70,79,74,74,2019 ~ 2023, N. Sansone,Bologna  
9,207554,1958,0,N/A,76,76,€0,CAM,€0,48,75,28,74,75,76,76,Free, V. Claesson, SwedenFree
10,212710,1061,8,"Jun 30, 2021",66,65,€1.6M,GK,€15K,43,64,24,65,67,66,74,"Jun 30, 2021 On Loan", Joel Pereira,"Huddersfield TownJun ,  On Loan"
11,215522,1123,4,N/A,75,72,€6.5M,GK,€16K,35,73,24,66,79,75,79,2017 ~ 2023, A. Schlager,LASK Linz  
12,223198,2059,0,N/A,74,68,€5.5M,LB,€8K,71,81,26,69,75,75,75,2019 ~ 2021, A. Adnan,Vancouver Whitecaps FC  
13,224883,1838,2,N/A,64,72,€3.9M,ST,€17K,44,77,25,62,68,73,75,2020 ~ 2024, S. Mounié,Stade Brestois   
14,226800,1456,11,N/A,76,57,€750K,ST,€2K,24,59,21,43,59,61,72,2020 ~ 2022, B. Ashley-Seal,Northampton Town  
15,231535,1665,4,N/A,69,45,€650K,LB,€2K,59,64,23,59,60,63,67,2020 ~ 2021, C. Borthwick-Jackson,Oldham Athletic  
16,231823,1598,7,"Jun 30, 2021",60,30,€3.5M,CB,€16K,71,72,22,52,59,71,78,"Jun 30, 2021 On Loan", J. Hoogma,"FC UtrechtJun ,  On Loan"
17,53302,2083,0,N/A,59,64,€7M,CB,€23K,85,77,35,73,69,82,82,2019 ~ 2020,  D. De Rossi,Boca Juniors  
18,150418,1710,0,N/A,52,74,€3.5M,ST,€26K,35,74,33,59,66,74,74,2018 ~ 2020,  M. Gómez,VfB Stuttgart  
19,156412,1192,0,N/A,72,77,€625K,GK,€23K,39,78,39,68,73,75,75,2009 ~ 2021, J. Corona,Cruz Azul  
20,183256,1888,0,N/A,66,64,€700K,CAM,€10K,61,57,29,69,67,65,65,2016 ~ 2021, H. Saivet,Newcastle United  
21,184144,1901,0,N/A,72,69,€6M,CAM,€15K,41,50,32,77,79,76,76,2020 ~ 2021, N. Gaitán,SC Braga  
22,186200,1946,0,N/A,73,74,€7.5M,LW,€18K,45,68,29,72,78,76,76,2021 ~ 2022, F. Borini,Fatih Karagümrük S.K.  
23,187735,2071,0,N/A,72,71,€7M,CM,€40K,70,67,30,74,76,76,76,2008 ~ 2021, A. Dzagoev,PFC CSKA Moscow  
24,191076,2034,0,N/A,70,73,€5.5M,RM,€48K,61,67,29,76,75,75,75,2016 ~ 2023, J. Guðmundsson,Burnley  
25,193152,1239,0,N/A,78,76,€3.7M,GK,€17K,42,74,32,82,72,76,76,2012 ~ 2021, Herrerín,Athletic Club de Bilbao  
26,198861,1985,0,N/A,68,54,€6.5M,CDM,€63K,74,72,28,72,74,76,76,2016 ~ 2023, N. Mendy,Leicester City  
27,199577,1783,1,N/A,62,40,€10M,CB,€26K,78,74,28,64,61,77,78,2018 ~ 2022, Sergi Gómez,Sevilla FC  
28,200215,2005,0,N/A,66,64,€9M,CDM,€27K,76,77,29,71,73,77,77,2019 ~ 2024, S. Rode,Eintracht Frankfurt  
29,200641,1865,0,N/A,77,72,€4.1M,LM,€950,32,66,30,68,78,74,74,2019 ~ 2022, Y. Konoplyanka,Shakhtar Donetsk  
30,201119,2065,0,N/A,82,64,€22M,LB,€1K,75,75,30,74,81,81,81,2013 ~ 2023, Ismaily,Shakhtar Donetsk  
31,201155,1859,0,N/A,74,67,€2.5M,CAM,€8K,50,55,27,74,77,72,72,2020 ~ 2021, R. Morrison,ADO Den Haag  
32,203537,1727,0,N/A,79,66,€1.9M,RM,€31K,33,65,28,65,74,71,71,2019 ~ 2021, S. Ameobi,Nottingham Forest  
33,204289,1774,1,"Jun 30, 2021",72,71,€2.2M,CAM,€10K,29,64,26,67,74,71,72,"Jun 30, 2021 On Loan", S. Berahino,"Sporting de CharleroiJun ,  On Loan"
34,204943,1965,0,N/A,71,76,€4.6M,CF,€24K,43,73,32,74,75,75,75,2020 ~ 2024, Luo Guofu,Guangzhou Evergrande Taobao FC  
35,205211,1330,0,N/A,78,74,€0,GK,€0,43,74,32,74,73,76,76,Free, M. Borjan, CanadaFree
36,205343,2082,0,N/A,81,67,€6M,RM,€47K,74,77,27,72,78,75,75,2020 ~ 2022, J. Akpa Akpro,Lazio  
37,206435,1673,0,N/A,66,70,€0,ST,€0,28,73,30,55,65,69,69,Free, A. Giannou, AustraliaFree
38,209532,1206,3,N/A,69,67,€1.6M,GK,€7K,43,65,25,68,71,70,73,2017 ~ 2024, D. Bachmann,Watford  
39,210697,1917,3,N/A,57,58,€3.6M,CDM,€31K,73,74,26,68,68,73,76,2019 ~ 2024, C. Nørgaard,Brentford  
40,215071,2164,0,N/A,86,70,€9.5M,LB,€18K,70,80,32,74,79,78,78,2015 ~ 2023, M. Casco,River Plate  
41,215644,1778,0,N/A,73,67,€3.3M,LM,€19K,41,57,26,71,74,73,73,2017 ~ 2021, Burgui,Deportivo Alavés  
42,220131,1686,0,"Jun 30, 2021",64,76,€4.3M,ST,€56K,29,73,28,57,61,74,74,"Jun 30, 2021 On Loan", M. Diagne,"West Bromwich AlbionJun ,  On Loan"
43,233545,1758,0,N/A,70,47,€0,LB,€0,66,67,27,59,66,69,69,Free, A. Nedyalkov, BulgariaFree
44,233943,1893,8,"Jun 30, 2021",73,58,€4M,CDM,€8K,67,76,21,65,72,71,79,"Jun 30, 2021 On Loan", Ronaldo Vieira,"Hellas VeronaJun ,  On Loan"
45,235512,1801,5,N/A,86,71,€4.7M,ST,€9K,26,61,23,61,76,73,78,2020 ~ 2023, Gelson Dala,Rio Ave FC  
46,236239,987,11,N/A,66,61,€1.1M,GK,€8K,31,62,21,59,68,64,75,2016 ~ 2022, A. Whiteman,Tottenham Hotspur  
47,236556,2005,7,N/A,81,69,€6M,CAM,€15K,66,77,22,70,76,73,80,2019 ~ 2023, M. Hongla,Royal Antwerp FC  
48,237256,1814,5,N/A,86,65,€2.9M,ST,€6K,34,79,23,63,69,71,76,2017 ~ 2021, J. Ebobisse,Portland Timbers  
49,239550,1592,6,"Jun 30, 2021",65,42,€2.3M,CB,€32K,70,74,22,45,50,70,76,"Jun 30, 2021 On Loan", A. Gravillon,"FC LorientJun ,  On Loan"
50,239747,1609,8,"Jun 30, 2021",73,69,€3.6M,ST,€14K,24,64,22,54,70,70,78,"Jun 30, 2021 On Loan", S. Córdova,"DSC Arminia BielefeldJun ,  On Loan"
51,242069,1909,7,N/A,74,64,€3.2M,CM,€20K,64,68,23,68,68,70,77,2019 ~ 2022, J. Sierra,Tigres U.A.N.L.  
52,242458,1494,10,"Jun 30, 2020",71,60,€500K,ST,€4K,26,70,22,44,62,62,72,"Jun 30, 2020 On Loan",  A. Dovbyk,"SønderjyskEJun ,  On Loan"
53,246055,1780,6,N/A,84,59,€2.1M,RWB,€6K,63,63,22,59,70,69,75,2021 ~ 2023, A. Preciado,KRC Genk  
54,247881,1838,5,N/A,76,52,€6M,CB,€38K,73,80,24,62,65,74,79,2019 ~ 2022, J. Escobar,Cruz Azul  
55,248053,1769,9,N/A,72,57,€3M,LWB,€9K,65,62,22,61,67,69,78,2017 ~ 2021, S. Arzamendia,Cerro Porteño  
56,251105,1720,9,"Jun 30, 2021",72,69,€3.5M,ST,€12K,31,64,20,59,71,70,79,"Jun 30, 2021 On Loan", D. Joveljić,"Wolfsberger ACJun ,  On Loan"
57,252773,992,15,"Jun 30, 2021",64,63,€1.2M,GK,€1K,34,62,18,63,65,64,79,"Jun 30, 2021 On Loan", J. Griffiths,"Cheltenham TownJun ,  On Loan"
58,253150,1732,8,N/A,81,63,€4.2M,CAM,€6K,29,50,21,68,76,71,79,2020 ~ 2023, M. Trésor,Willem II  
59,256675,1716,9,"Jun 30, 2021",81,68,€3.2M,CAM,€16K,29,54,21,56,76,69,78,"Jun 30, 2021 On Loan", O. Marmoush,"FC St. PauliJun ,  On Loan"
0,53302,2083,0,N/A,59,64,€7M,CB,€23K,85,77,35,73,69,82,82,2019 ~ 2020,  D. De Rossi,Boca Juniors  
1,146947,1861,1,N/A,51,63,€6.5M,CDM,€22K,76,75,27,70,68,75,76,2016 ~ 2024, Vesga,Athletic Club de Bilbao  
2,170481,1911,0,N/A,43,60,€16.5M,CB,€48K,82,81,32,68,61,83,83,2016 ~ 2020,  E. Garay,Valencia CF  
3,177604,2015,0,N/A,67,61,€7.5M,LB,€32K,80,68,34,74,74,80,80,2019 ~ 2022, Nacho Monreal,Real Sociedad  
4,183498,2092,0,N/A,57,76,€4.9M,CDM,€40K,79,73,35,75,75,79,79,2014 ~ 2021, M. Parolo,Lazio  
5,186537,2008,0,N/A,66,79,€6.5M,ST,€13K,48,80,33,70,72,77,77,2017 ~ 2023, C. Stuani,Girona FC  
6,186569,1145,0,N/A,77,70,€4M,GK,€12K,40,76,31,62,80,76,76,2020 ~ 2023, S. Ulreich,Hamburger SV  
7,186832,2084,0,N/A,70,67,€3.5M,CDM,€27K,76,71,31,74,77,74,74,2021 ~ 2021, K. Asamoah,Cagliari  
8,193130,1999,0,N/A,79,78,€9M,LW,€59K,43,68,28,72,78,77,77,2016 ~ 2021,  A. Schürrle,Spartak Moscow  
9,194958,2061,0,N/A,63,71,€7.5M,CM,€15K,69,75,29,78,74,76,76,2020 ~ 2024, A. Mooy,Shanghai SIPG FC  
10,196144,1792,0,N/A,67,72,€1.5M,ST,€8K,31,72,33,62,70,72,72,2019 ~ 2022, J. Martínez,Portimonense SC  
11,200110,1256,1,N/A,81,75,€11M,GK,€11K,46,75,29,67,78,78,79,2017 ~ 2022, M. Bizot,AZ Alkmaar  
12,200630,1945,0,N/A,85,71,€5.5M,RW,€48K,52,60,28,69,79,75,75,2009 ~ 2023, J. Forrest,Celtic  
13,200726,1160,1,N/A,80,78,€16M,GK,€46K,42,80,29,77,81,80,81,2019 ~ 2024, B. Lecomte,AS Monaco  
14,201533,1735,0,N/A,79,66,€1.7M,LM,€6K,29,64,27,68,71,70,70,2020 ~ 2021, P. Ntep,En Avant de Guingamp  
15,202541,1743,0,N/A,68,68,€2.3M,RM,€18K,31,58,29,72,74,72,72,2020 ~ 2021, Jota,Deportivo Alavés  
16,203625,1754,0,N/A,73,50,€5M,CB,€40K,77,73,29,62,54,75,75,2010 ~ 2021,  A. Martynovich,FC Krasnodar  
17,203757,1889,0,N/A,80,75,€10.5M,ST,€53K,33,80,29,59,75,77,77,2020 ~ 2023, Zé Luís,Lokomotiv Moscow  
18,207645,1786,0,N/A,93,62,€2.5M,LM,€9K,37,54,27,63,75,72,72,2020 ~ 2024, M. Barrow,Jeonbuk Hyundai Motors  
19,215703,1747,5,N/A,64,44,€3.2M,CB,€17K,73,71,24,59,65,72,77,2018 ~ 2023, Marlon,Sassuolo  
20,220172,1889,4,N/A,90,52,€5.5M,RB,€14K,68,74,24,61,70,74,78,2020 ~ 2024, S. Janko,Real Valladolid CF  
21,224440,1113,4,N/A,73,66,€2M,GK,€23K,28,70,25,72,73,71,75,2020 ~ 2024, J. Pollersbeck,Olympique Lyonnais  
22,225199,1921,5,"Jun 30, 2021",74,61,€2.4M,RM,€13K,59,52,24,70,73,70,75,"Jun 30, 2021 On Loan", V. Koziello,"CD NacionalJun ,  On Loan"
23,228614,1794,1,N/A,93,64,€2.2M,LM,€12K,57,59,25,63,71,71,72,2020 ~ 2023, G. Holtmann,VfL Bochum   
24,229153,1777,7,N/A,85,59,€6M,CAM,€1K,32,65,22,69,80,73,80,2020 ~ 2025, L. García,AEK Athens  
25,232669,1775,9,N/A,69,60,€1.6M,CAM,€2K,49,58,21,67,67,65,74,2019 ~ 2022, S. Singh,Bayern München II  
26,234203,1790,7,"Jun 30, 2021",53,55,€3.8M,CM,€9K,63,56,22,76,70,71,78,"Jun 30, 2021 On Loan", C. Eiting,"Huddersfield TownJun ,  On Loan"
27,236518,1769,8,N/A,80,68,€7M,CAM,€21K,36,57,22,67,75,73,81,2016 ~ 2022, A. Nordin,AS Saint-Étienne  
28,236636,1873,6,N/A,73,52,€6M,LB,€19K,72,71,23,67,67,74,80,2018 ~ 2022, A. Caci,RC Strasbourg Alsace  
29,238060,977,12,N/A,62,60,€700K,GK,€3K,36,61,21,64,64,61,73,2017 ~ 2022, N. Trott,West Ham United  
30,238389,1409,13,N/A,47,30,€2.3M,CB,€4K,68,65,20,43,39,67,80,2018 ~ 2023, B. Wilmot,Watford  
31,239704,1712,3,N/A,76,32,€3M,LB,€5K,69,75,23,58,67,72,75,2019 ~ 2022, K. Wagner,Philadelphia Union  
32,240916,1889,6,N/A,68,61,€3.5M,CDM,€16K,70,72,22,67,68,72,78,2017 ~ 2021, D. Ljubicic,SK Rapid Wien  
33,245065,1655,10,N/A,77,33,€3.3M,LWB,€3K,65,64,20,61,68,70,80,2019 ~ 2022, D. Palacios,Los Angeles FC  
34,245308,2065,0,N/A,79,54,€0,LB,€0,76,74,32,75,78,80,80,Free, M. Nérez, UruguayFree
35,246388,1420,9,N/A,61,26,€1.8M,CB,€3K,67,73,21,46,36,66,75,2020 ~ 2021, N. Ferraresi,Moreirense FC  
36,256894,1600,14,N/A,79,53,€1.1M,RM,€3K,27,59,19,60,65,63,77,2019 ~ 2022, Baena,Real Betis  
37,258908,1676,12,"Jun 30, 2021",57,46,€3.2M,CB,€16K,70,71,20,54,59,69,81,"Jun 30, 2021 On Loan", J. van Hecke,"SC HeerenveenJun ,  On Loan"
38,225591,1742,3,N/A,75,66,€4.2M,CAM,€26K,23,42,24,71,78,73,76,2020 ~ 2024, L. Suárez,Club América  
39,228103,1044,10,N/A,47,56,€180K,GK,€4K,45,50,22,63,52,53,63,2019 ~ 2021, T. Akmurzin,Spartak Moscow  
40,229528,1769,7,N/A,74,43,€5.5M,CB,€650,74,74,24,61,63,73,80,2015 ~ 2025, M. Matvienko,Shakhtar Donetsk  
41,230184,2016,0,N/A,89,58,€18M,LB,€27K,74,59,20,70,77,79,79,2019 ~ 2023, Ronaldo Esler,Atlético Mineiro  
42,233800,1783,6,N/A,83,49,€2.8M,LB,€3K,67,72,21,58,65,71,77,2016 ~ 2021, F. Bjørkan,FK Bodø/Glimt  
43,234576,1524,10,N/A,60,36,€2.5M,CB,€3K,68,71,21,43,58,68,78,2020 ~ 2023, Diogo Queirós,Famalicão  
44,234824,1778,6,N/A,88,72,€4.8M,ST,€21K,26,67,23,62,75,73,79,2018 ~ 2024, Y. Wissa,FC Lorient  
45,235663,1916,6,N/A,71,69,€3.7M,CAM,€15K,58,69,22,69,72,72,78,2019 ~ 2023, G. Til,SC Freiburg  
46,236613,971,9,N/A,69,66,€2.3M,GK,€10K,41,64,21,60,72,68,77,2020 ~ 2024, L. Grill,Bayer  Leverkusen  
47,238359,2110,9,N/A,78,75,€39.5M,CAM,€15K,73,71,22,77,80,79,88,2018 ~ 2023, Wendel,Sporting CP  
48,238656,1602,6,N/A,57,65,€950K,ST,€9K,42,79,21,55,53,64,70,2021 ~ 2024, S. Tigges,Borussia Dortmund  
49,238858,1877,6,N/A,79,67,€9M,LM,€12K,40,61,23,71,80,75,81,2020 ~ 2025, Bruno Tabata,Sporting CP  
50,241119,1148,10,N/A,70,67,€3.1M,GK,€6K,47,69,21,67,73,70,80,2019 ~ 2024, Dani Martín,Real Betis  
51,241673,2021,0,N/A,76,60,€5.5M,LB,€42K,70,77,27,75,71,75,75,2018 ~ 2024, B. Barišić,Rangers FC  
52,243169,1489,19,N/A,76,58,€625K,ST,€500,20,54,18,47,63,60,79,2018 ~ 2021, Y. Begraoui,AJ Auxerre  
53,244363,964,7,N/A,63,65,€1.5M,GK,€8K,25,70,22,60,65,66,73,2018 ~ 2022, Daniel Fuzato,Roma  
54,246137,1521,14,N/A,70,33,€900K,RB,€4K,59,63,19,45,60,62,76,2018 ~ 2023, K. Ramsay,Southampton  
55,246695,1342,14,N/A,62,22,€525K,CB,€500,58,74,18,39,41,60,74,2018 ~ 2022, M. Pollock,Grimsby Town  
56,246755,1663,10,N/A,79,66,€2.7M,ST,€8K,31,61,21,57,69,68,78,2019 ~ 2024, E. Aguirre,Santos Laguna  
57,248199,1559,13,N/A,62,36,€1.6M,CB,€4K,63,72,19,48,47,65,78,2015 ~ 2022, V. Antov,Bologna  
58,251886,1655,9,N/A,68,31,€4.9M,CB,€9K,72,75,22,55,62,72,81,2016 ~ 2023, A. Frías,Defensa y Justicia  
59,259423,1567,18,N/A,57,64,€1.2M,ST,€500,36,77,17,48,56,63,81,2020 ~ 2024, Iván Azón,Real Zaragoza  
0,1238,1872,0,N/A,38,84,€1.5M,CAM,€60K,21,67,39,87,81,80,80,1993 ~ 2017,  F. Totti,Roma  
1,172049,1849,0,N/A,86,67,€2.6M,LW,€16K,35,66,33,66,81,74,74,2020 ~ 2022, E. Elia,FC Utrecht  
2,173521,1796,0,N/A,64,46,€10M,CB,€17K,82,75,33,60,59,80,80,2019 ~ 2023, Marcano,FC Porto  
3,177922,1858,0,N/A,78,71,€1.5M,LM,€45K,38,58,32,70,72,71,71,2020 ~ 2021, K. Grosicki,West Bromwich Albion  
4,178091,1713,0,N/A,61,74,€5.5M,ST,€18K,30,80,30,59,70,75,75,2019 ~ 2022, S. Okaka,Udinese  
5,182837,1793,0,N/A,87,63,€1.4M,LW,€8K,37,65,29,61,72,69,69,2018 ~ 2021, K. LuaLua,Luton Town  
6,186547,1853,0,N/A,63,47,€9M,CB,€50K,81,70,29,63,67,77,77,2021 ~ 2023, M. Musacchio,Lazio  
7,189177,2092,0,N/A,70,72,€5.5M,CM,€34K,70,75,28,76,76,75,75,2016 ~ 2023, J. Fleck,Sheffield United  
8,189606,1907,0,N/A,55,49,€9.5M,CDM,€53K,77,80,32,69,68,78,78,2016 ~ 2022, J. Baumgartlinger,Bayer  Leverkusen  
9,190149,2065,0,N/A,82,64,€10M,RB,€24K,72,77,31,74,76,78,78,2009 ~ 2022, De Marcos,Athletic Club de Bilbao  
10,191053,2023,0,N/A,66,59,€4.4M,CDM,€38K,74,78,32,71,75,75,75,2018 ~ 2022, T. Rincón,Torino  
11,197225,2067,0,N/A,74,73,€17.5M,CAM,€12K,49,72,31,83,81,80,80,2016 ~ 2023, N. Lodeiro,Seattle Sounders FC  
12,200094,2045,1,N/A,75,70,€0,CDM,€0,73,76,27,72,77,77,78,Free, M. Ozdoev, RussiaFree
13,200746,1900,1,N/A,64,67,€2.7M,CM,€24K,70,71,26,67,68,72,73,2017 ~ 2021, J. Lundstram,Sheffield United  
14,201041,1828,0,N/A,74,40,€2.7M,LB,€22K,72,72,29,64,71,73,73,2018 ~ 2021, L. Carole,RC Strasbourg Alsace  
15,201269,1125,1,"Jun 30, 2021",77,70,€4.8M,GK,€19K,46,73,27,67,78,75,76,"Jun 30, 2021 On Loan", F. Rønnow,"FC Schalke Jun ,  On Loan"
16,201346,1724,0,N/A,66,67,€0,ST,€0,33,75,29,55,66,66,66,Free, L. Boyce, Northern IrelandFree
17,205705,1787,0,N/A,54,50,€11.5M,CB,€14K,80,77,30,63,59,78,78,2020 ~ 2022, Z. Feddal,Sporting CP  
18,206198,1704,2,N/A,60,37,€4.6M,CB,€20K,74,79,26,60,59,74,76,2018 ~ 2022, D. Heintz,SC Freiburg  
19,206304,2029,0,N/A,54,67,€6.5M,CDM,€46K,75,77,29,73,67,76,76,2017 ~ 2023, L. Milivojević,Crystal Palace  
20,212213,2062,0,N/A,74,67,€13.5M,RWB,€16K,70,69,27,75,78,78,78,2017 ~ 2024, Ricardo Esgaio,SC Braga  
21,213439,1899,0,N/A,62,66,€2.3M,CM,€7K,63,63,28,70,74,72,72,2013 ~ 2022, J. Osorio,Toronto FC  
22,214876,1680,2,"Jun 30, 2021",83,69,€1.8M,ST,€14K,26,66,25,52,67,69,71,"Jun 30, 2021 On Loan", J. Marriott,"Sheffield WednesdayJun ,  On Loan"
23,220029,1819,3,N/A,67,67,€2.1M,CAM,€18K,46,58,25,70,74,70,73,2016 ~ 2021, S. Khaoui,Olympique de Marseille  
24,222382,1833,5,N/A,69,65,€2.1M,LM,€8K,62,58,24,70,72,69,74,2019 ~ 2021, L. Chávez,Pachuca  
25,223033,1665,6,N/A,66,30,€4.4M,CB,€17K,74,72,23,53,64,73,79,2017 ~ 2023, Jorge Meré,. FC Köln  
26,224265,1818,7,N/A,62,56,€3M,CDM,€18K,68,64,23,67,68,70,77,2020 ~ 2024, J. Williams,Bristol City  
27,225479,1729,11,N/A,59,58,€500K,CAM,€6K,58,61,22,59,60,62,73,2014 ~ 2020,  A. Gordyushenko,PFC CSKA Moscow  
28,225591,1742,3,N/A,75,66,€4.2M,CAM,€26K,23,42,24,71,78,73,76,2020 ~ 2024, L. Suárez,Club América  
29,201122,1724,1,N/A,71,48,€2.4M,CB,€27K,71,75,27,54,63,72,73,2019 ~ 2023, T. Kalas,Bristol City  
30,210537,2049,0,N/A,78,75,€14M,LM,€48K,48,65,28,74,80,78,78,2018 ~ 2023, R. Steffen,VfL Wolfsburg  
31,215443,1904,1,N/A,88,71,€6.5M,RM,€19K,42,68,25,71,76,75,76,2021 ~ 2026, P. Zinckernagel,Watford  
32,216260,1834,0,N/A,88,61,€1.7M,RM,€10K,52,70,27,61,70,70,70,2020 ~ 2022, F. Kaufmann,Eintracht Braunschweig  
33,216320,2008,3,N/A,76,70,€10M,CM,€36K,71,76,25,70,76,76,79,2020 ~ 2024, S. Fofana,Racing Club de Lens  
34,221797,1808,0,N/A,77,70,€3.4M,RW,€19K,33,51,25,71,76,73,73,2018 ~ 2022, E. Thommy,VfB Stuttgart  
35,222079,1823,7,N/A,67,64,€2.8M,CAM,€33K,57,66,23,64,75,69,76,2019 ~ 2023, J. Onomah,Fulham  
36,225557,1590,10,N/A,66,31,€1M,CB,€2K,61,70,22,56,58,63,73,2021 ~ 2024, R. Poole,Lincoln City  
37,226376,1927,2,N/A,82,66,€5.5M,CAM,€21K,53,64,25,72,77,74,76,2021 ~ 2024, Kaku,Al Taawoun  
38,229148,1882,0,"Jun 30, 2021",83,57,€2M,LM,€47K,66,67,26,67,72,71,71,"Jun 30, 2021 On Loan", Dalbert,"Stade Rennais FCJun ,  On Loan"
39,229712,1932,5,"Jun 30, 2021",75,57,€10.5M,LWB,€34K,72,64,24,69,77,76,81,"Jun 30, 2021 On Loan", Jorge,"FC Basel Jun ,  On Loan"
40,230681,1818,6,N/A,76,52,€3.5M,LB,€17K,67,74,22,64,70,72,78,2020 ~ 2024, G. Pezzella,Parma  
41,232708,1795,7,N/A,73,43,€2.3M,LWB,€2K,64,66,21,63,68,68,75,2019 ~ 2022, M. Valenzuela,Columbus Crew SC  
42,235642,1795,9,N/A,66,58,€3.4M,CDM,€20K,67,80,22,58,64,70,79,2016 ~ 2023, R. Yates,Nottingham Forest  
43,237255,1557,7,N/A,76,33,€2.6M,CB,€3K,69,75,23,47,51,69,76,2017 ~ 2021, M. Robinson,Atlanta United  
44,239782,2019,0,N/A,84,70,€2M,CM,€6K,65,81,26,67,68,71,71,2019 ~ 2021, B. Acosta,FC Dallas  
45,241150,1812,11,N/A,67,60,€2.6M,CM,€8K,63,73,20,64,69,68,79,2018 ~ 2023, J. Mbom,SV Werder Bremen  
46,241827,1725,5,N/A,67,35,€8M,RB,€18K,74,65,24,63,69,75,80,2014 ~ 2022, Martín,Deportivo Alavés  
47,243574,1720,7,N/A,86,38,€2.3M,RWB,€2K,61,68,21,57,68,68,75,2020 ~ 2021, Z. Brault-Guillard,Montreal Impact  
48,244004,1599,14,N/A,73,59,€950K,ST,€10K,41,64,19,53,61,62,76,2018 ~ 2021, D. Bughail-Mellor,Manchester United  
49,246800,1636,11,N/A,81,55,€900K,RM,€1K,54,59,21,50,67,62,73,2019 ~ 2021, T. Buchanan,New England Revolution  
50,246946,1892,11,"Jun 30, 2023",79,65,€3M,CAM,€9K,63,68,19,64,72,69,80,"Jun 30, 2023 On Loan", I. Coulibaly,"Beerschot ACJun ,  On Loan"
51,248174,1724,12,N/A,70,60,€2.5M,CAM,€7K,50,52,21,62,74,67,79,2018 ~ 2022, N. Boujellab,FC Schalke   
